"peiid","taxonname_clean","taxonname_key","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","POINT_X","POINT_Y","phiidref","labsampnum","layerseqnum","hzdept","hzdepb","hzname","texcl","ncsslayerlabdataiid","sandtotmeasured","silttotmeasured","claytotmeasured","cec7","colorhue","colorvalue","colorchroma"
890507,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3024611,32.5951694,4410635,"11N00527",56,23,76,"E1","Sand",432786,87.0999985,9.8999996,3,NA,"10YR",6,3
890507,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3024611,32.5951694,4410634,"11N00525",54,0,2,"A","Sand",432784,90,8.6999998,1.3,NA,"10YR",6,2
890508,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3022194,32.5954583000001,4410639,"11N00529",58,2,22,"A","Sand",432788,88.6999969,10.1000004,1.2,NA,"10YR",6,2
890508,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3022194,32.5954583000001,4410640,"11N00530",59,22,50,"E","Sand",432789,88.8000031,10.3000002,0.9,NA,"10YR",6,3
890508,"Fuquay","FUQUAY","Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Plinthic Kandiudults","loamy",-82.3022194,32.5954583000001,4410639,"11N00528",57,0,2,"A","Sand",432787,91,7.5999999,1.4,NA,"10YR",6,2
890509,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633306,32.3962028,4410642,"11N00355",2,2,26,"","Loamy sand",290942,81.4000015,12.6000004,6,NA,"10YR",4,2
890509,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633306,32.3962028,4410643,"11N00356",3,26,95,"","Sandy clay loam",290943,61.5,10.6000004,27.8999996,NA,"10YR",6,6
890509,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633306,32.3962028,4410644,"11N00357",4,95,140,"","Sandy clay",290944,47,7.6999998,45.2999992,NA,"10YR",6,6
890509,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633306,32.3962028,4410645,"11N00358",5,140,183,"","Sandy clay",290945,48.5999985,9,42.4000015,NA,"10YR",6,4
890509,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633306,32.3962028,4410642,"11N00354",1,0,2,"","Loamy sand",290941,81.4000015,12,6.5999999,NA,"10YR",4,2
890510,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633333,32.3966111,4410647,"11N00360",7,2,28,"A","Loamy sand",432696,82.9000015,11.6000004,5.5,NA,"10YR",4,2
890510,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633333,32.3966111,4410648,"11N00361",8,28,50,"Bt","Sandy loam",432697,66.5999985,14.1999998,19.2000008,NA,"10YR",6,6
890510,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3633333,32.3966111,4410647,"11N00359",6,0,2,"A","Sandy loam",432695,72.8000031,12.1999998,15,NA,"10YR",4,2
890511,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3631583,32.3963167000001,4410650,"11N00363",10,2,28,"A","Loamy sand",432699,79.4000015,13,7.5999999,NA,"10YR",4,2
890511,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3631583,32.3963167000001,4410651,"11N00364",11,28,50,"Bt","Sandy clay loam",432700,66.5999985,13.3999996,20,NA,"10YR",6,6
890511,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3631583,32.3963167000001,4410650,"11N00362",9,0,2,"A","Loamy sand",432698,80,11.8000002,8.1999998,NA,"10YR",4,2
890512,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3629194,32.3960250000001,4410653,"11N00366",13,2,25,"A","Loamy sand",432702,85.1999969,10.6999998,4.0999999,NA,"10YR",4,2
890512,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3629194,32.3960250000001,4410654,"11N00367",14,25,50,"Bt","Sandy loam",432703,71.6999969,13,15.3000002,NA,"10YR",6,6
890512,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3629194,32.3960250000001,4410653,"11N00365",12,0,2,"A","Loamy sand",432701,82.3000031,10.5,7.1999998,NA,"10YR",4,2
890513,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-83.3634028,32.3959444000001,4410656,"11N00369",16,2,25,"A","Loamy sand",432705,81.0999985,14.1000004,4.8000002,NA,"10YR",4,2
